<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.GLTR:TQBR,D,20210712,000000,525.0000000,527.3500000,516.0500000,521.3500000,63250
MOEX.GLTR:TQBR,D,20210713,000000,523.5000000,523.5000000,515.2500000,517.0000000,68920
MOEX.GLTR:TQBR,D,20210714,000000,515.8500000,518.5500000,507.7000000,511.0000000,109860
MOEX.GLTR:TQBR,D,20210715,000000,512.9500000,517.2500000,510.1000000,513.5000000,97920
MOEX.GLTR:TQBR,D,20210716,000000,513.3500000,523.9000000,508.3000000,512.5000000,127330
MOEX.GLTR:TQBR,D,20210719,000000,516.7500000,522.0000000,506.0000000,508.0500000,175270
MOEX.GLTR:TQBR,D,20210720,000000,513.3000000,520.0000000,506.5500000,518.1500000,117310
MOEX.GLTR:TQBR,D,20210721,000000,518.0000000,524.0500000,515.4500000,516.0500000,97230
MOEX.GLTR:TQBR,D,20210722,000000,516.1000000,531.0000000,514.0000000,529.5000000,170660
MOEX.GLTR:TQBR,D,20210723,000000,529.8500000,529.9000000,517.6000000,517.7500000,110690
MOEX.GLTR:TQBR,D,20210726,000000,519.6000000,531.8000000,514.0500000,529.5000000,141720
MOEX.GLTR:TQBR,D,20210727,000000,529.5000000,544.9000000,523.3500000,539.3500000,212060
MOEX.GLTR:TQBR,D,20210728,000000,543.9500000,564.9500000,539.0500000,554.5000000,371920
MOEX.GLTR:TQBR,D,20210729,000000,556.5000000,564.4500000,550.4000000,556.9500000,219870
MOEX.GLTR:TQBR,D,20210730,000000,563.3000000,582.0000000,556.0000000,574.9000000,189440
MOEX.GLTR:TQBR,D,20210802,000000,574.9000000,586.0000000,567.6000000,571.0000000,180950
MOEX.GLTR:TQBR,D,20210803,000000,570.0500000,577.4500000,555.0000000,560.0000000,115050
MOEX.GLTR:TQBR,D,20210804,000000,560.4000000,579.3000000,560.0000000,569.9500000,75630
MOEX.GLTR:TQBR,D,20210805,000000,568.0500000,585.0000000,563.5000000,577.8500000,119270
MOEX.GLTR:TQBR,D,20210806,000000,579.2000000,584.4000000,565.4000000,567.2500000,114700
MOEX.GLTR:TQBR,D,20210809,000000,566.5000000,575.0000000,563.0000000,568.6000000,94510
MOEX.GLTR:TQBR,D,20210810,000000,572.9500000,585.0000000,565.4500000,579.5000000,234730
MOEX.GLTR:TQBR,D,20210811,000000,580.0000000,586.0000000,575.0500000,579.0000000,162490
MOEX.GLTR:TQBR,D,20210812,000000,584.9500000,586.0000000,577.4500000,585.4000000,211540
MOEX.GLTR:TQBR,D,20210813,000000,585.5000000,588.6500000,568.0500000,571.5000000,202150
MOEX.GLTR:TQBR,D,20210816,000000,572.2000000,579.4000000,556.9500000,561.0000000,130960
MOEX.GLTR:TQBR,D,20210817,000000,564.0000000,575.0000000,563.4000000,566.9500000,127700
MOEX.GLTR:TQBR,D,20210818,000000,570.0500000,574.1000000,561.0000000,570.9500000,93640
MOEX.GLTR:TQBR,D,20210819,000000,573.7500000,573.9000000,552.0500000,563.0000000,213070
MOEX.GLTR:TQBR,D,20210820,000000,560.0500000,569.6500000,560.0000000,564.0000000,68070
MOEX.GLTR:TQBR,D,20210823,000000,571.5000000,572.7500000,555.0000000,565.0000000,131150
MOEX.GLTR:TQBR,D,20210824,000000,568.9500000,569.8000000,559.8000000,567.3000000,86700
MOEX.GLTR:TQBR,D,20210825,000000,568.9500000,604.0000000,568.0000000,599.7500000,301770
MOEX.GLTR:TQBR,D,20210826,000000,602.9000000,619.5000000,594.3000000,608.4000000,291120
MOEX.GLTR:TQBR,D,20210827,000000,605.2500000,636.5500000,602.8000000,629.0000000,218820
MOEX.GLTR:TQBR,D,20210830,000000,630.0500000,658.6000000,630.0500000,649.5000000,377620
MOEX.GLTR:TQBR,D,20210831,000000,638.1000000,640.0000000,600.0000000,614.8500000,855640
MOEX.GLTR:TQBR,D,20210901,000000,616.5000000,621.9500000,601.2000000,616.4500000,228500
MOEX.GLTR:TQBR,D,20210902,000000,616.5000000,620.7500000,607.8000000,617.1000000,146900
MOEX.GLTR:TQBR,D,20210903,000000,618.0000000,619.5000000,595.0000000,599.9500000,537660
MOEX.GLTR:TQBR,D,20210906,000000,595.8000000,595.8000000,578.6000000,587.1500000,462380
MOEX.GLTR:TQBR,D,20210907,000000,589.9500000,589.9500000,576.2000000,585.9500000,206460
MOEX.GLTR:TQBR,D,20210908,000000,585.9500000,591.8000000,579.1500000,591.8000000,117120
MOEX.GLTR:TQBR,D,20210909,000000,589.8500000,589.8500000,578.0000000,582.6000000,77890
MOEX.GLTR:TQBR,D,20210910,000000,582.8500000,583.9500000,568.0000000,575.0000000,159610
MOEX.GLTR:TQBR,D,20210913,000000,575.0000000,576.4000000,565.9500000,573.6000000,309930
MOEX.GLTR:TQBR,D,20210914,000000,574.7500000,580.0000000,566.1000000,570.1500000,296100
MOEX.GLTR:TQBR,D,20210915,000000,574.8000000,575.0000000,563.0000000,567.8500000,254820
MOEX.GLTR:TQBR,D,20210916,000000,568.0000000,570.0000000,546.6000000,557.0500000,395980
MOEX.GLTR:TQBR,D,20210917,000000,558.8000000,559.5000000,541.1000000,545.0000000,210210
MOEX.GLTR:TQBR,D,20210920,000000,542.5500000,544.8000000,530.0000000,530.0000000,214890
MOEX.GLTR:TQBR,D,20210921,000000,533.8000000,544.0000000,531.3000000,538.0000000,287840
MOEX.GLTR:TQBR,D,20210922,000000,540.3000000,558.7500000,539.7500000,558.0000000,245330
MOEX.GLTR:TQBR,D,20210923,000000,565.0000000,565.0000000,546.7000000,554.9500000,139200
MOEX.GLTR:TQBR,D,20210924,000000,556.6500000,564.1500000,546.0000000,553.6000000,128870
MOEX.GLTR:TQBR,D,20210927,000000,554.9000000,567.4500000,544.3500000,565.8500000,139840
MOEX.GLTR:TQBR,D,20210928,000000,565.0000000,578.8500000,558.7500000,571.8000000,242140
MOEX.GLTR:TQBR,D,20210929,000000,571.6000000,572.6500000,560.3500000,561.3500000,114860
MOEX.GLTR:TQBR,D,20210930,000000,565.9500000,589.0500000,565.0500000,585.0000000,378850
MOEX.GLTR:TQBR,D,20211001,000000,587.9500000,595.4000000,579.0500000,591.6000000,181880
MOEX.GLTR:TQBR,D,20211004,000000,592.0000000,607.8000000,590.0000000,596.0500000,279060
MOEX.GLTR:TQBR,D,20211005,000000,599.9500000,619.9000000,594.7500000,619.9000000,201300
MOEX.GLTR:TQBR,D,20211006,000000,616.9000000,619.8000000,592.7500000,601.0000000,235320
MOEX.GLTR:TQBR,D,20211007,000000,607.4000000,607.5000000,585.0000000,591.7500000,209020
MOEX.GLTR:TQBR,D,20211008,000000,591.0000000,599.9000000,587.8500000,597.8000000,304660
MOEX.GLTR:TQBR,D,20211011,000000,605.9500000,605.9500000,591.1000000,596.6500000,188730
MOEX.GLTR:TQBR,D,20211012,000000,596.0000000,602.0000000,591.0000000,593.8000000,116640
MOEX.GLTR:TQBR,D,20211013,000000,591.0500000,598.9500000,588.3000000,594.0000000,177190
MOEX.GLTR:TQBR,D,20211014,000000,597.0000000,598.2500000,589.7500000,592.0000000,164940
MOEX.GLTR:TQBR,D,20211015,000000,594.5500000,595.3500000,582.0000000,588.0500000,170530
MOEX.GLTR:TQBR,D,20211018,000000,593.8000000,621.7000000,589.9000000,618.4500000,303790
MOEX.GLTR:TQBR,D,20211019,000000,620.0000000,629.8500000,607.0000000,619.7500000,247740
MOEX.GLTR:TQBR,D,20211020,000000,615.0000000,627.1000000,610.0000000,626.5000000,114120
MOEX.GLTR:TQBR,D,20211021,000000,626.0000000,628.6000000,607.1500000,613.0000000,149370
