<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TCSG,D,20210630,000000,6207.0000000,6479.0000000,6170.0000000,6421.0000000,349575
TCSG,D,20210701,000000,6436.2000000,6436.2000000,6271.0000000,6347.0000000,249431
TCSG,D,20210702,000000,6339.0000000,6443.2000000,6300.8000000,6383.2000000,234618
TCSG,D,20210705,000000,6409.0000000,6644.0000000,6390.0000000,6630.0000000,226004
TCSG,D,20210706,000000,6634.4000000,6991.0000000,6567.2000000,6762.2000000,658990
TCSG,D,20210707,000000,6752.8000000,6891.0000000,6621.0000000,6680.6000000,315636
TCSG,D,20210708,000000,6718.0000000,6719.2000000,6551.2000000,6673.0000000,237194
TCSG,D,20210709,000000,6695.4000000,6720.6000000,6568.2000000,6625.0000000,178072
TCSG,D,20210712,000000,6656.0000000,6802.6000000,6626.8000000,6796.6000000,250561
TCSG,D,20210713,000000,6810.0000000,6828.0000000,6455.0000000,6527.4000000,392096
TCSG,D,20210714,000000,6519.4000000,6539.8000000,6112.4000000,6306.0000000,551803
TCSG,D,20210715,000000,6300.0000000,6460.0000000,6187.0000000,6393.0000000,212667
TCSG,D,20210716,000000,6400.0000000,6591.0000000,6330.2000000,6412.0000000,342796
TCSG,D,20210719,000000,6400.0000000,6495.0000000,6250.0000000,6379.0000000,211224
TCSG,D,20210720,000000,6400.2000000,6467.0000000,6325.0000000,6410.2000000,159745
TCSG,D,20210721,000000,6430.4000000,6565.0000000,6410.4000000,6480.0000000,195940
TCSG,D,20210722,000000,6518.0000000,6570.0000000,6406.8000000,6519.0000000,173773
TCSG,D,20210723,000000,6525.0000000,6557.8000000,6461.4000000,6523.2000000,129988
TCSG,D,20210726,000000,6529.2000000,6666.0000000,6420.0000000,6660.0000000,185184
TCSG,D,20210727,000000,6653.6000000,6768.0000000,6356.0000000,6474.8000000,255081
TCSG,D,20210728,000000,6474.6000000,6492.0000000,6218.4000000,6314.0000000,207571
